"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0797227,-0.0723332,38.5123,3,-0.266625,28.1643,3,0.8,0
"5",22.91,0.797883,0.56418,44.7936,4,1.06481,27.0995,3,0.8,0
"6",22.91,-0.598089,-0.424357,37.3782,5,-1.15589,28.2554,3,0.8,0
"7",22.91,-0.252712,-0.311506,42.1501,6,-1.19097,29.4464,3,0.8,0
"8",22.91,-0.133668,-0.13897,43.6731,7,-0.411889,29.8583,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.0782553,-0.0709396,38.4859,3,-0.26175,28.1564,3,0.8,0
"13",23.01,0.74627,0.470764,44.8958,4,0.979906,27.1765,3,0.8,0
"14",23.01,-0.561245,-0.368478,37.2695,5,-1.02106,28.1976,3,0.8,0
"15",23.01,-0.264631,-0.32347,42.0293,6,-1.22286,29.4205,3,0.8,0
"16",23.01,-0.134804,-0.140918,43.6313,7,-0.42439,29.8448,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0768519,-0.069864,38.4599,3,-0.256943,28.1487,3,0.8,0
"21",23.11,0.68788,0.384173,44.9898,4,0.900697,27.248,3,0.8,0
"22",23.11,-0.521028,-0.313109,37.1737,5,-0.895661,28.1437,3,0.8,0
"23",23.11,-0.276533,-0.334901,41.9057,6,-1.24968,29.3933,3,0.8,0
