"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0513535,-0.0446068,24.1223,2,-0.169827,27.9661,3,0.8,0
"4",22.91,-0.127591,-0.118152,41.5227,3,-0.582779,28.5489,3,0.8,0
"5",22.91,-0.128972,-0.124201,46.844,4,-0.474837,29.0237,3,0.8,0
"6",22.91,-0.118143,-0.115861,44.1342,5,-0.368008,29.3918,3,0.8,0
"7",22.91,-0.101729,-0.100904,45.9303,6,-0.244415,29.6362,3,0.8,0
"8",22.91,-0.0876922,-0.0876085,46.4844,7,-0.183872,29.82,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0499976,-0.0432588,24.1055,2,-0.165309,27.9611,3,0.8,0
"12",23.01,-0.125705,-0.116295,41.4648,3,-0.575184,28.5363,3,0.8,0
"13",23.01,-0.128024,-0.123237,46.7965,4,-0.474647,29.0109,3,0.8,0
"14",23.01,-0.117687,-0.115376,44.0973,5,-0.369064,29.38,3,0.8,0
"15",23.01,-0.101564,-0.100699,45.9058,6,-0.246041,29.626,3,0.8,0
"16",23.01,-0.0876754,-0.0875697,46.4659,7,-0.185268,29.8113,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0486431,-0.0419201,24.0892,2,-0.160908,27.9561,3,0.8,0
"20",23.11,-0.123837,-0.114523,41.4076,3,-0.567641,28.5238,3,0.8,0
"21",23.11,-0.127062,-0.122213,46.749,4,-0.474365,28.9981,3,0.8,0
"22",23.11,-0.117217,-0.114836,44.0604,5,-0.37007,29.3682,3,0.8,0
"23",23.11,-0.101384,-0.10045,45.8811,6,-0.247637,29.6159,3,0.8,0
