"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0762543,-0.0707407,39.4699,3,-0.348413,28.2461,3,0.8,0
"5",22.91,-0.10814,-0.102811,40.5677,4,-0.389249,28.6354,3,0.8,0
"6",22.91,-0.121229,-0.118129,42.1738,5,-0.424953,29.0603,3,0.8,0
"7",22.91,-0.120546,-0.119327,43.1994,6,-0.380484,29.4408,3,0.8,0
"8",22.91,-0.112854,-0.112682,44.1486,7,-0.331823,29.7726,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.0751492,-0.0696298,39.4353,3,-0.343865,28.2386,3,0.8,0
"13",23.01,-0.107082,-0.101758,40.529,4,-0.386057,28.6246,3,0.8,0
"14",23.01,-0.120613,-0.117537,42.1314,5,-0.42362,29.0482,3,0.8,0
"15",23.01,-0.120326,-0.119203,43.1614,6,-0.38053,29.4288,3,0.8,0
"16",23.01,-0.112845,-0.112749,44.1153,7,-0.332581,29.7613,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0740595,-0.0686234,39.4012,3,-0.339352,28.2311,3,0.8,0
"21",23.11,-0.106047,-0.100841,40.4905,4,-0.382861,28.614,3,0.8,0
"22",23.11,-0.120006,-0.11696,42.0891,5,-0.422243,29.0362,3,0.8,0
