"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.0159239,-0.0135287,27.4029,1,-0.0535217,27.8313,3,0.8,0
"3",22.91,-0.0677188,-0.0601904,38.1507,2,-0.225603,28.0569,3,0.8,0
"4",22.91,-0.12176,-0.114226,40.9714,3,-0.526113,28.583,3,0.8,0
"5",22.91,-0.125244,-0.121245,43.4766,4,-0.466673,29.0497,3,0.8,0
"6",22.91,-0.111802,-0.110105,44.816,5,-0.329598,29.3793,3,0.8,0
"7",22.91,-0.0971083,-0.0965815,45.6407,6,-0.239258,29.6186,3,0.8,0
"8",22.91,-0.0845245,-0.0845905,46.2801,7,-0.185069,29.8036,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.015443,-0.0130257,27.3977,1,-0.0519556,27.8298,3,0.8,0
"11",23.01,-0.0661755,-0.0584582,38.1284,2,-0.220481,28.0502,3,0.8,0
"12",23.01,-0.120244,-0.112638,40.919,3,-0.520708,28.5709,3,0.8,0
"13",23.01,-0.124438,-0.120349,43.43,4,-0.466285,29.0372,3,0.8,0
"14",23.01,-0.111454,-0.109671,44.783,5,-0.330917,29.3681,3,0.8,0
"15",23.01,-0.0970007,-0.0964178,45.6167,6,-0.240715,29.6089,3,0.8,0
"16",23.01,-0.0845373,-0.0845766,46.2615,7,-0.186321,29.7952,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0149597,-0.0125386,27.3925,1,-0.0504378,27.8282,3,0.8,0
"19",23.11,-0.0646547,-0.0571223,38.1066,2,-0.215466,28.0437,3,0.8,0
"20",23.11,-0.11874,-0.111228,40.8672,3,-0.5153,28.559,3,0.8,0
"21",23.11,-0.123625,-0.119519,43.3834,4,-0.465828,29.0248,3,0.8,0
"22",23.11,-0.111095,-0.109261,44.7498,5,-0.332191,29.357,3,0.8,0
"23",23.11,-0.09688,-0.0962358,45.5926,6,-0.242147,29.5992,3,0.8,0
"24",23.11,-0.084541,-0.0845283,46.2428,7,-0.18756,29.7867,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.0145208,-0.0125282,27.3876,1,-0.048967,27.8268,3,0.8,0
"27",23.21,-0.0631642,-0.0557908,38.0853,2,-0.210553,28.0373,3,0.8,0
"28",23.21,-0.117239,-0.109741,40.816,3,-0.509892,28.5472,3,0.8,0
"29",23.21,-0.122812,-0.118706,43.3368,4,-0.465301,29.0125,3,0.8,0
"30",23.21,-0.110731,-0.108894,44.7165,5,-0.333419,29.3459,3,0.8,0
"31",23.21,-0.0967555,-0.0961082,45.5683,6,-0.243555,29.5895,3,0.8,0
"32",23.21,-0.0845407,-0.0845201,46.224,7,-0.188788,29.7783,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.0141164,-0.0120651,27.3827,1,-0.047537,27.8253,3,0.8,0
"35",23.31,-0.0617549,-0.0548117,38.0645,2,-0.205745,28.0311,3,0.8,0
"36",23.31,-0.115765,-0.108413,40.7653,3,-0.504487,28.5356,3,0.8,0
"37",23.31,-0.122007,-0.117942,43.2903,4,-0.464707,29.0003,3,0.8,0
"38",23.31,-0.11037,-0.108538,44.6831,5,-0.334603,29.3349,3,0.8,0
"39",23.31,-0.0966318,-0.0959803,45.5438,6,-0.24494,29.5798,3,0.8,0
"40",23.31,-0.0845397,-0.0845091,46.2051,7,-0.190002,29.7698,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.0137022,-0.0116108,27.3781,1,-0.046148,27.8239,3,0.8,0
"43",23.41,-0.0603533,-0.0533643,38.0442,2,-0.201035,28.025,3,0.8,0
"44",23.41,-0.114303,-0.106984,40.7151,3,-0.49909,28.5241,3,0.8,0
