"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.0291953,-0.0248438,17.5537,1,-0.0982121,27.876,3,0.8,0
"3",22.91,-0.111609,-0.0992168,38.7889,2,-0.372243,28.2483,3,0.8,0
"4",22.91,-0.201114,-0.187714,41.0546,3,-0.674895,28.9231,3,0.8,0
"5",22.91,-0.217631,-0.214444,43.4186,4,-0.71705,29.6402,3,0.8,0
"6",22.91,-0.160554,-0.167121,44.8203,5,-0.477793,30.118,3,0.8,0
"7",22.91,-0.101068,-0.10694,45.1184,6,-0.214031,30.332,3,0.8,0
"8",22.91,-0.0874434,-0.0871274,44.9491,7,-0.120361,30.4524,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.028329,-0.0240089,17.544,1,-0.0953402,27.8731,3,0.8,0
"11",23.01,-0.109141,-0.0968785,38.7521,2,-0.36409,28.2372,3,0.8,0
"12",23.01,-0.198477,-0.185212,40.9876,3,-0.665953,28.9032,3,0.8,0
"13",23.01,-0.21696,-0.213234,43.347,4,-0.715289,29.6185,3,0.8,0
"14",23.01,-0.16181,-0.168019,44.7723,5,-0.483396,30.1019,3,0.8,0
"15",23.01,-0.102254,-0.107995,45.0967,6,-0.219983,30.3219,3,0.8,0
"16",23.01,-0.0874039,-0.0873559,44.937,7,-0.121793,30.4436,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0274709,-0.0231993,17.5347,1,-0.0925544,27.8704,3,0.8,0
"19",23.11,-0.106746,-0.0948901,38.7161,2,-0.356094,28.2264,3,0.8,0
"20",23.11,-0.195857,-0.18267,40.9214,3,-0.657031,28.8835,3,0.8,0
"21",23.11,-0.216263,-0.2124,43.2756,4,-0.713333,29.5968,3,0.8,0
"22",23.11,-0.162991,-0.168797,44.7236,5,-0.488809,30.0856,3,0.8,0
"23",23.11,-0.103447,-0.10922,45.0744,6,-0.225938,30.3116,3,0.8,0
"24",23.11,-0.0874152,-0.0876108,44.9247,7,-0.123344,30.4349,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.0266675,-0.0228754,17.5255,1,-0.0898526,27.8677,3,0.8,0
"27",23.21,-0.104414,-0.0928662,38.6809,2,-0.34825,28.2159,3,0.8,0
"28",23.21,-0.193249,-0.180136,40.8562,3,-0.648135,28.864,3,0.8,0
"29",23.21,-0.215541,-0.211569,43.2044,4,-0.711188,29.5752,3,0.8,0
"30",23.21,-0.164126,-0.169929,44.6745,5,-0.494035,30.0693,3,0.8,0
"31",23.21,-0.10468,-0.110648,45.0515,6,-0.231886,30.3011,3,0.8,0
"32",23.21,-0.0874757,-0.0879189,44.9123,7,-0.125013,30.4262,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.0259087,-0.0221078,17.5167,1,-0.0872275,27.865,3,0.8,0
"35",23.31,-0.102121,-0.0907248,38.6464,2,-0.34056,28.2056,3,0.8,0
"36",23.31,-0.190647,-0.177546,40.7918,3,-0.639268,28.8449,3,0.8,0
"37",23.31,-0.214717,-0.210244,43.1334,4,-0.70886,29.5537,3,0.8,0
"38",23.31,-0.165247,-0.170906,44.6248,5,-0.499071,30.0528,3,0.8,0
"39",23.31,-0.105894,-0.111754,45.0281,6,-0.237825,30.2906,3,0.8,0
"40",23.31,-0.0875777,-0.0881955,44.8997,7,-0.126795,30.4174,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.02515,-0.0213579,17.5081,1,-0.0846783,27.8625,3,0.8,0
"43",23.41,-0.0998423,-0.088512,38.6127,2,-0.333023,28.1955,3,0.8,0
