"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0442508,-0.0385772,37.3705,3,-0.0450513,27.9428,3,0.8,0
"5",22.91,-0.124448,-0.112225,39.1602,4,-0.415804,28.3586,3,0.8,0
"6",22.91,-0.189685,-0.180005,41.2856,5,-0.635036,28.9936,3,0.8,0
"7",22.91,-0.188802,-0.187821,43.2629,6,-0.611016,29.6046,3,0.8,0
"8",22.91,-0.14562,-0.150017,44.4292,7,-0.418042,30.0227,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.043106,-0.0374086,37.3661,3,-0.0437059,27.9384,3,0.8,0
"13",23.01,-0.122075,-0.110228,39.119,4,-0.407852,28.3462,3,0.8,0
"14",23.01,-0.187756,-0.17832,41.2224,5,-0.628488,28.9747,3,0.8,0
"15",23.01,-0.18865,-0.187522,43.2018,6,-0.611005,29.5857,3,0.8,0
"16",23.01,-0.146454,-0.150515,44.3872,7,-0.422306,30.008,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0419563,-0.0362441,37.3618,3,-0.0423999,27.9341,3,0.8,0
"21",23.11,-0.11974,-0.108081,39.0786,4,-0.400021,28.3342,3,0.8,0
"22",23.11,-0.185829,-0.17609,41.1599,5,-0.621897,28.9561,3,0.8,0
