"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0762543,-0.0707407,39.4699,3,-0.348413,28.2461,3,0.8,0
"5",22.91,-0.12117,-0.114594,36.3454,4,-0.456963,28.7031,3,0.8,0
"6",22.91,-0.145261,-0.140552,40.7344,5,-0.516359,29.2194,3,0.8,0
"7",22.91,-0.141811,-0.140464,45.5564,6,-0.444587,29.664,3,0.8,0
"8",22.91,-0.125921,-0.126778,44.7661,7,-0.362437,30.0265,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.0751492,-0.0696298,39.4353,3,-0.343865,28.2386,3,0.8,0
"13",23.01,-0.119865,-0.113317,36.2999,4,-0.452482,28.691,3,0.8,0
"14",23.01,-0.144321,-0.139613,40.6829,5,-0.51393,29.205,3,0.8,0
"15",23.01,-0.141534,-0.14008,45.5119,6,-0.444895,29.6499,3,0.8,0
"16",23.01,-0.126076,-0.126728,44.7298,7,-0.364002,30.0139,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0740595,-0.0686234,39.4012,3,-0.339352,28.2311,3,0.8,0
"21",23.11,-0.118588,-0.11218,36.2549,4,-0.448021,28.6791,3,0.8,0
"22",23.11,-0.143385,-0.138673,40.6316,5,-0.511465,29.1906,3,0.8,0
