"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0762543,-0.0707407,39.4699,3,-0.348413,28.2461,3,0.8,0
"5",22.91,-0.0857762,-0.0823769,44.4425,4,-0.345417,28.5915,3,0.8,0
"6",22.91,-0.0868809,-0.084756,43.0031,5,-0.319996,28.9115,3,0.8,0
"7",22.91,-0.0830025,-0.0817261,44.2439,6,-0.270283,29.1818,3,0.8,0
"8",22.91,-0.0774972,-0.07678,45.2177,7,-0.228013,29.4098,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.0751492,-0.0696298,39.4353,3,-0.343865,28.2386,3,0.8,0
"13",23.01,-0.0850953,-0.0816647,44.408,4,-0.344442,28.583,3,0.8,0
"14",23.01,-0.0864532,-0.0842989,42.9711,5,-0.319872,28.9029,3,0.8,0
"15",23.01,-0.082749,-0.0814589,44.2169,6,-0.270661,29.1735,3,0.8,0
"16",23.01,-0.0773547,-0.0766265,45.1949,7,-0.228557,29.4021,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0740595,-0.0686234,39.4012,3,-0.339352,28.2311,3,0.8,0
"21",23.11,-0.0844194,-0.0810162,44.3736,4,-0.343424,28.5745,3,0.8,0
"22",23.11,-0.0860269,-0.0838838,42.9392,5,-0.319722,28.8942,3,0.8,0
