"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.00552093,-0.00467542,37.2847,1,-0.0185012,27.7963,3,0.8,0
"3",22.91,-0.0305753,-0.0269368,37.6204,2,-0.101405,27.8977,3,0.8,0
"4",22.91,-0.0762543,-0.0707407,39.4699,3,-0.348413,28.2461,3,0.8,0
"5",22.91,-0.0959362,-0.0917779,44.8125,4,-0.325846,28.572,3,0.8,0
"6",22.91,-0.0983164,-0.0968781,43.6437,5,-0.337186,28.9092,3,0.8,0
"7",22.91,-0.0995491,-0.0988171,40.8636,6,-0.315465,29.2246,3,0.8,0
"8",22.91,-0.099327,-0.0985317,43.5408,7,-0.298494,29.5231,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.00534501,-0.00443286,37.2829,1,-0.0179586,27.7958,3,0.8,0
"11",23.01,-0.0298312,-0.0261115,37.6104,2,-0.0989307,27.8947,3,0.8,0
"12",23.01,-0.0751492,-0.0696298,39.4353,3,-0.343865,28.2386,3,0.8,0
"13",23.01,-0.09511,-0.0909349,44.78,4,-0.323862,28.5624,3,0.8,0
"14",23.01,-0.0980153,-0.096393,43.61,5,-0.336918,28.8993,3,0.8,0
"15",23.01,-0.0993777,-0.098409,40.8321,6,-0.315334,29.2147,3,0.8,0
"16",23.01,-0.0991655,-0.0983602,43.5109,7,-0.298516,29.5132,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0051579,-0.00419838,37.2811,1,-0.0174343,27.7952,3,0.8,0
"19",23.11,-0.0290709,-0.0252814,37.6006,2,-0.0965137,27.8917,3,0.8,0
"20",23.11,-0.0740595,-0.0686234,39.4012,3,-0.339352,28.2311,3,0.8,0
"21",23.11,-0.0943028,-0.0902237,44.7477,4,-0.321851,28.553,3,0.8,0
"22",23.11,-0.0976977,-0.0960836,43.5763,5,-0.336601,28.8896,3,0.8,0
