method_infocom,method_ray,method_ray2,method_reference_all,multi_method_infocom_134,multi_method_ray2_134,multi_method_ray_134,multi_method_reference_all_134,vid
speed,speed,speed,speed,speed,speed,speed,speed,
0,0,0,0,0,0,0,0,0
9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,1
12.41,12.41,12.41,12.41,15.51,47.31,56.61,15.51,2
15.91,15.91,15.91,15.51,19.31,47.31,56.71,19.11,3
18.31,50.41,41.51,17.31,22.61,22.61,22.61,21.81,4
20.31,20.31,20.31,20.11,25.71,43.71,53.11,24.81,5
22.71,22.71,22.71,23.01,28.51,43.61,53.01,27.81,6
25.41,25.41,25.41,26.11,31.11,43.01,52.91,30.81,7
distance,distance,distance,distance,distance,distance,distance,distance,
0,0,0,0,0,0,0,0,0
11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,1
16.61,16.61,16.61,16.61,20.51,46.81,56.21,20.51,2
21.01,21.01,21.01,24.11,23.61,48.31,57.71,27.01,3
23.61,53.21,44.21,30.41,26.71,47.91,57.21,34.11,4
28.71,56.41,47.51,38.81,32.81,43.01,52.41,43.31,5
32.21,58.51,49.91,46.71,35.71,38.21,38.21,51.01,6
35.61,32.61,32.61,54.91,39.31,41.61,41.81,59.21,7
ess,ess,ess,ess,ess,ess,ess,ess,
-38.2222222222,-38.2222222222,-38.2222222222,-38.2222222222,-38.2222222222,-38.2222222222,-38.2222222222,-38.2222222222,0
-0.000122222222224,-0.000122222222224,-0.000122222222224,-0.000122222222224,-0.000122222222224,-0.000122222222224,-0.000122222222224,-0.000122222222224,1
-2.22222222206e-05,-2.22222222206e-05,-2.22222222206e-05,-2.22222222206e-05,-13.7234222222,7.77777777756e-05,7.77777777756e-05,-13.7234222222,2
-2.22222222206e-05,-2.22222222206e-05,-2.22222222206e-05,-2.22222222206e-05,1.16797777778,-2.22222222206e-05,-2.22222222206e-05,0.583977777778,3
9.14897777778,-2.22222222206e-05,-2.22222222206e-05,3.05317777778,10.2173777778,7.77777777756e-05,7.77777777756e-05,3.42707777778,4
-0.778622222222,-2.22222222206e-05,-2.22222222206e-05,-0.0675222222222,-4.37522222222,-2.22222222206e-05,-2.22222222206e-05,-0.940422222222,5
-0.712522222222,-2.22222222206e-05,-2.22222222206e-05,-0.0507222222222,0.571277777778,-2.22222222206e-05,-2.22222222206e-05,0.181477777778,6
-0.651622222222,-2.22222222206e-05,-2.22222222206e-05,-0.0417222222222,0.522577777778,-2.22222222206e-05,-2.22222222206e-05,0.150477777778,7
