"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.0116647,-0.00990284,31.1285,1,-0.0391871,27.817,3,0.8,0
"3",22.91,-0.0605611,-0.0532504,32.6265,2,-0.201039,28.018,3,0.8,0
"4",22.91,-0.148379,-0.135196,34.8827,3,-0.496131,28.5142,3,0.8,0
"5",22.91,-0.224891,-0.213066,37.9223,4,-0.748747,29.2629,3,0.8,0
"6",22.91,-0.241918,-0.238338,40.933,5,-0.77981,30.0427,3,0.8,0
"7",22.91,-0.209651,-0.211879,43.1711,6,-0.617118,30.6598,3,0.8,0
"8",22.91,-0.17278,-0.175135,44.5146,7,-0.427388,31.0872,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.0113085,-0.00950667,31.1246,1,-0.0380401,27.8158,3,0.8,0
"11",23.01,-0.059099,-0.051832,32.6067,2,-0.19621,28.0121,3,0.8,0
"12",23.01,-0.145775,-0.132774,34.8335,3,-0.487412,28.4995,3,0.8,0
"13",23.01,-0.222572,-0.210763,37.8478,4,-0.741079,29.2405,3,0.8,0
"14",23.01,-0.241158,-0.23738,40.8551,5,-0.778022,30.0186,3,0.8,0
"15",23.01,-0.210099,-0.211963,43.1092,6,-0.620277,30.6388,3,0.8,0
"16",23.01,-0.173244,-0.175643,44.4717,7,-0.431076,31.0699,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0109463,-0.00912321,31.1209,1,-0.0369291,27.8147,3,0.8,0
"19",23.11,-0.0577041,-0.0508283,32.5873,2,-0.191489,28.0062,3,0.8,0
"20",23.11,-0.143165,-0.130129,34.7852,3,-0.478811,28.485,3,0.8,0
"21",23.11,-0.220219,-0.208256,37.7741,4,-0.733384,29.2184,3,0.8,0
"22",23.11,-0.240352,-0.236286,40.7774,5,-0.776079,29.9945,3,0.8,0
"23",23.11,-0.210523,-0.212267,43.0471,6,-0.623314,30.6178,3,0.8,0
"24",23.11,-0.173754,-0.17654,44.4284,7,-0.434759,31.0526,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.0106251,-0.0092133,31.1172,1,-0.0358531,27.8137,3,0.8,0
"27",23.21,-0.0563154,-0.0494097,32.5684,2,-0.186871,28.0005,3,0.8,0
"28",23.21,-0.140655,-0.128174,34.7378,3,-0.470327,28.4709,3,0.8,0
"29",23.21,-0.217884,-0.206028,37.7012,4,-0.725668,29.1965,3,0.8,0
"30",23.21,-0.239487,-0.235108,40.6998,5,-0.773985,29.9705,3,0.8,0
"31",23.21,-0.210895,-0.212409,42.9846,6,-0.626229,30.5967,3,0.8,0
"32",23.21,-0.174291,-0.176995,44.3847,7,-0.438428,31.0352,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.010335,-0.00884775,31.1137,1,-0.0348063,27.8126,3,0.8,0
"35",23.31,-0.0549767,-0.0483635,32.5499,2,-0.18236,27.995,3,0.8,0
"36",23.31,-0.138133,-0.125528,34.6912,3,-0.461958,28.4569,3,0.8,0
"37",23.31,-0.215529,-0.203572,37.629,4,-0.717936,29.1749,3,0.8,0
"38",23.31,-0.238586,-0.234209,40.6226,5,-0.771746,29.9466,3,0.8,0
"39",23.31,-0.211265,-0.212738,42.9218,6,-0.629016,30.5756,3,0.8,0
"40",23.31,-0.174804,-0.177357,44.3407,7,-0.442082,31.0177,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.0100319,-0.00848806,31.1103,1,-0.0337893,27.8116,3,0.8,0
"43",23.41,-0.0536233,-0.0468667,32.5319,2,-0.177953,27.9895,3,0.8,0
"44",23.41,-0.135694,-0.123542,34.6454,3,-0.453702,28.4432,3,0.8,0
"45",23.41,-0.213203,-0.20138,37.5576,4,-0.710189,29.1534,3,0.8,0
"46",23.41,-0.237677,-0.233208,40.5455,5,-0.769363,29.9228,3,0.8,0
"47",23.41,-0.211593,-0.212867,42.8588,6,-0.631679,30.5545,3,0.8,0
"48",23.41,-0.175326,-0.178096,44.2963,7,-0.44572,31.0002,3,0.8,0
"49",5.11,0.126637,0.77256,-1,0,0,27.0065,3,0.8,0
"50",5.11,0,0,42.1802,1,2.00651,25,3,0.8,0
"51",5.11,0,0,42.18,2,2,23,3,0.8,0
