"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.0125577,-0.0146102,31.0198,1,-0.0395825,27.8174,3,0.8,0
"3",22.91,-0.0609051,-0.0538356,32.6327,2,-0.202474,28.0199,3,0.8,0
"4",22.91,-0.140294,-0.130658,35.9663,3,-0.633327,28.6532,3,0.8,0
"5",22.91,-0.167281,-0.160685,39.9663,4,-0.702376,29.3556,3,0.8,0
"6",22.91,-0.163057,-0.159353,42.6382,5,-0.566692,29.9223,3,0.8,0
"7",22.91,-0.149437,-0.147537,44.3455,6,-0.437675,30.3599,3,0.8,0
"8",22.91,-0.134411,-0.13359,45.5511,7,-0.343972,30.7039,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.012198,-0.0142111,31.0159,1,-0.0384238,27.8162,3,0.8,0
"11",23.01,-0.0594941,-0.0528832,32.6127,2,-0.197627,28.0139,3,0.8,0
"12",23.01,-0.138335,-0.128794,35.9034,3,-0.625415,28.6393,3,0.8,0
"13",23.01,-0.165936,-0.159344,39.8962,4,-0.699642,29.3389,3,0.8,0
"14",23.01,-0.162287,-0.158527,42.5815,5,-0.567082,29.906,3,0.8,0
"15",23.01,-0.149035,-0.147084,44.3017,6,-0.439017,30.345,3,0.8,0
"16",23.01,-0.134226,-0.133365,45.5167,7,-0.345462,30.6905,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0118324,-0.0138247,31.0121,1,-0.0373014,27.8151,3,0.8,0
"19",23.11,-0.0580969,-0.0514699,32.5932,2,-0.192883,28.008,3,0.8,0
"20",23.11,-0.136404,-0.126985,35.8413,3,-0.617558,28.6255,3,0.8,0
"21",23.11,-0.164592,-0.157996,39.8264,4,-0.696848,29.3224,3,0.8,0
"22",23.11,-0.161507,-0.157704,42.5248,5,-0.567415,29.8898,3,0.8,0
"23",23.11,-0.148625,-0.14664,44.2577,6,-0.440321,30.3301,3,0.8,0
"24",23.11,-0.134037,-0.133156,45.482,7,-0.346931,30.6771,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.011508,-0.013912,31.0085,1,-0.0362144,27.814,3,0.8,0
"27",23.21,-0.0566963,-0.0500762,32.5741,2,-0.188244,28.0023,3,0.8,0
"28",23.21,-0.134483,-0.125123,35.7799,3,-0.609754,28.612,3,0.8,0
"29",23.21,-0.163248,-0.156666,39.7568,4,-0.693996,29.306,3,0.8,0
"30",23.21,-0.160721,-0.156906,42.4681,5,-0.567692,29.8737,3,0.8,0
"31",23.21,-0.148207,-0.146195,44.2136,6,-0.441589,30.3153,3,0.8,0
"32",23.21,-0.133841,-0.132936,45.4473,7,-0.348377,30.6637,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.0112147,-0.0135437,31.0049,1,-0.035157,27.813,3,0.8,0
"35",23.31,-0.0553524,-0.0490549,32.5555,2,-0.183713,27.9967,3,0.8,0
"36",23.31,-0.132577,-0.123298,35.7193,3,-0.602004,28.5987,3,0.8,0
"37",23.31,-0.161904,-0.155315,39.6876,4,-0.691087,29.2898,3,0.8,0
"38",23.31,-0.159931,-0.156102,42.4113,5,-0.567914,29.8577,3,0.8,0
"39",23.31,-0.147784,-0.145749,44.1694,6,-0.442819,30.3005,3,0.8,0
"40",23.31,-0.13364,-0.132701,45.4124,7,-0.349801,30.6503,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.0109084,-0.0131814,31.0014,1,-0.0341296,27.8119,3,0.8,0
