"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.0125577,-0.0146102,31.0198,1,-0.0395825,27.8174,3,0.8,0
"3",22.91,-0.0609051,-0.0538356,32.6327,2,-0.202474,28.0199,3,0.8,0
"4",22.91,-0.140294,-0.130658,35.9663,3,-0.633327,28.6532,3,0.8,0
"5",22.91,-0.190237,-0.181812,38.3955,4,-0.673947,29.3271,3,0.8,0
"6",22.91,-0.202495,-0.198733,41.2576,5,-0.694608,30.0217,3,0.8,0
"7",22.91,-0.189876,-0.189734,43.0805,6,-0.57648,30.5982,3,0.8,0
"8",22.91,-0.165711,-0.1674,44.5738,7,-0.456024,31.0542,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.012198,-0.0142111,31.0159,1,-0.0384238,27.8162,3,0.8,0
"11",23.01,-0.0594941,-0.0528832,32.6127,2,-0.197627,28.0139,3,0.8,0
"12",23.01,-0.138335,-0.128794,35.9034,3,-0.625415,28.6393,3,0.8,0
"13",23.01,-0.188505,-0.179982,38.3284,4,-0.66894,29.3082,3,0.8,0
"14",23.01,-0.201689,-0.197761,41.1882,5,-0.693331,30.0015,3,0.8,0
"15",23.01,-0.189802,-0.189509,43.0228,6,-0.577702,30.5792,3,0.8,0
"16",23.01,-0.166015,-0.167645,44.528,7,-0.45842,31.0377,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.0118324,-0.0138247,31.0121,1,-0.0373014,27.8151,3,0.8,0
"19",23.11,-0.0580969,-0.0514699,32.5932,2,-0.192883,28.008,3,0.8,0
"20",23.11,-0.136404,-0.126985,35.8413,3,-0.617558,28.6255,3,0.8,0
"21",23.11,-0.186778,-0.178297,38.2617,4,-0.663912,29.2895,3,0.8,0
"22",23.11,-0.200852,-0.196877,41.119,5,-0.691964,29.9814,3,0.8,0
"23",23.11,-0.18971,-0.18942,42.965,6,-0.578849,30.5603,3,0.8,0
"24",23.11,-0.166307,-0.167888,44.4821,7,-0.460777,31.021,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.011508,-0.013912,31.0085,1,-0.0362144,27.814,3,0.8,0
"27",23.21,-0.0566963,-0.0500762,32.5741,2,-0.188244,28.0023,3,0.8,0
"28",23.21,-0.134483,-0.125123,35.7799,3,-0.609754,28.612,3,0.8,0
"29",23.21,-0.185063,-0.176649,38.1956,4,-0.658863,29.2709,3,0.8,0
"30",23.21,-0.200015,-0.195967,41.0498,5,-0.690508,29.9614,3,0.8,0
"31",23.21,-0.189609,-0.189207,42.907,6,-0.579923,30.5413,3,0.8,0
"32",23.21,-0.166593,-0.168157,44.4359,7,-0.463097,31.0044,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.0112147,-0.0135437,31.0049,1,-0.035157,27.813,3,0.8,0
"35",23.31,-0.0553524,-0.0490549,32.5555,2,-0.183713,27.9967,3,0.8,0
"36",23.31,-0.132577,-0.123298,35.7193,3,-0.602004,28.5987,3,0.8,0
"37",23.31,-0.183335,-0.174841,38.13,4,-0.653794,29.2525,3,0.8,0
"38",23.31,-0.199152,-0.194982,40.9809,5,-0.688965,29.9414,3,0.8,0
"39",23.31,-0.189485,-0.188965,42.849,6,-0.580922,30.5224,3,0.8,0
"40",23.31,-0.166872,-0.168399,44.3895,7,-0.465376,30.9877,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.0109084,-0.0131814,31.0014,1,-0.0341296,27.8119,3,0.8,0
