"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,-0.000518856,-0.000418453,43.4539,1,-0.00164355,27.7794,3,0.8,0
"3",22.91,-0.00525529,-0.00448698,42.6786,2,-0.0174197,27.7969,3,0.8,0
"4",22.91,-0.0189349,-0.0167204,42.2947,3,-0.0632194,27.8601,3,0.8,0
"5",22.91,-0.0391214,-0.0358685,42.1872,4,-0.130677,27.9908,3,0.8,0
"6",22.91,-0.0573988,-0.0545455,42.3166,5,-0.189782,28.1805,3,0.8,0
"7",22.91,-0.0704353,-0.0678931,42.5825,6,-0.225603,28.4061,3,0.8,0
"8",22.91,-0.0816176,-0.0793779,42.9238,7,-0.249901,28.656,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,-0.000489508,-0.000300252,43.4537,1,-0.00159305,27.7794,3,0.8,0
"11",23.01,-0.00510103,-0.00433733,42.6769,2,-0.0169532,27.7963,3,0.8,0
"12",23.01,-0.0185496,-0.0166529,42.2884,3,-0.0618645,27.8582,3,0.8,0
"13",23.01,-0.0384904,-0.0353338,42.1742,4,-0.128671,27.9869,3,0.8,0
"14",23.01,-0.0568259,-0.0539884,42.2977,5,-0.187951,28.1748,3,0.8,0
"15",23.01,-0.06997,-0.067565,42.56,6,-0.224293,28.3991,3,0.8,0
"16",23.01,-0.0811511,-0.0787695,42.8989,7,-0.248783,28.6479,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,-0.000444598,-0.000186411,43.4536,1,-0.00154638,27.7793,3,0.8,0
"19",23.11,-0.00494748,-0.00418801,42.6753,2,-0.0164982,27.7958,3,0.8,0
"20",23.11,-0.0181482,-0.0161383,42.2823,3,-0.0605331,27.8564,3,0.8,0
"21",23.11,-0.0378634,-0.0347316,42.1615,4,-0.12669,27.9831,3,0.8,0
"22",23.11,-0.0562433,-0.0532659,42.279,5,-0.186115,28.1692,3,0.8,0
"23",23.11,-0.0694847,-0.0669894,42.5376,6,-0.222974,28.3922,3,0.8,0
"24",23.11,-0.0806716,-0.0782933,42.874,7,-0.247664,28.6398,3,0.8,0
"25",23.21,-1.42361e-08,2.07017e-09,-1,0,0,27.7778,3,0.8,0
"26",23.21,-0.000431288,-0.000538024,43.4534,1,-0.00150355,27.7793,3,0.8,0
"27",23.21,-0.00486195,-0.00451219,42.6736,2,-0.0160516,27.7954,3,0.8,0
"28",23.21,-0.0177276,-0.0156526,42.2763,3,-0.0592309,27.8546,3,0.8,0
"29",23.21,-0.0373081,-0.0345243,42.1489,4,-0.124726,27.9793,3,0.8,0
"30",23.21,-0.0556601,-0.0528554,42.2604,5,-0.184279,28.1636,3,0.8,0
"31",23.21,-0.0690201,-0.0666388,42.5154,6,-0.221642,28.3852,3,0.8,0
"32",23.21,-0.0802093,-0.0779915,42.8493,7,-0.246546,28.6318,3,0.8,0
"33",23.31,-1.11715e-08,3.35305e-09,-1,0,0,27.7778,3,0.8,0
"34",23.31,-0.000439893,-0.000426143,43.4533,1,-0.00145966,27.7793,3,0.8,0
"35",23.31,-0.00478182,-0.00435362,42.672,2,-0.0156136,27.7949,3,0.8,0
"36",23.31,-0.0173594,-0.0155455,42.2705,3,-0.0579605,27.8528,3,0.8,0
"37",23.31,-0.0367206,-0.0337742,42.1365,4,-0.122779,27.9756,3,0.8,0
"38",23.31,-0.0550922,-0.0522446,42.2421,5,-0.182443,28.1581,3,0.8,0
"39",23.31,-0.0685291,-0.0660095,42.4933,6,-0.220302,28.3784,3,0.8,0
"40",23.31,-0.0797848,-0.0777833,42.8247,7,-0.245425,28.6238,3,0.8,0
"41",23.41,-8.45723e-09,4.34532e-09,-1,0,0,27.7778,3,0.8,0
"42",23.41,-0.000426617,-0.000312527,43.4531,1,-0.00141616,27.7792,3,0.8,0
"43",23.41,-0.00468686,-0.00418825,42.6705,2,-0.015184,27.7944,3,0.8,0
"44",23.41,-0.0169651,-0.0149946,42.2647,3,-0.0567193,27.8511,3,0.8,0
"45",23.41,-0.0361682,-0.0333845,42.1243,4,-0.120852,27.972,3,0.8,0
"46",23.41,-0.0545374,-0.0519073,42.224,5,-0.180606,28.1526,3,0.8,0
"47",23.41,-0.0680475,-0.0655716,42.4713,6,-0.218953,28.3715,3,0.8,0
"48",23.41,-0.0793707,-0.0772744,42.8002,7,-0.244295,28.6158,3,0.8,0
"49",5.11,0.126637,0.77256,-1,0,0,27.0065,3,0.8,0
"50",5.11,0,0,42.1802,1,2.00651,25,3,0.8,0
"51",5.11,0,0,42.18,2,2,23,3,0.8,0
"52",23.51,-6.0794e-09,5.08109e-09,-1,0,0,27.7778,3,0.8,0
"53",23.51,-0.000395463,-0.000200853,43.453,1,-0.00137499,27.7792,3,0.8,0
"54",23.51,-0.00457912,-0.00402249,42.669,2,-0.0147623,27.7939,3,0.8,0
"55",23.51,-0.0166101,-0.0148585,42.2591,3,-0.0555053,27.8494,3,0.8,0
"56",23.51,-0.0356312,-0.0329188,42.1123,4,-0.118941,27.9684,3,0.8,0
"57",23.51,-0.0540096,-0.0514089,42.206,5,-0.178769,28.1472,3,0.8,0
"58",23.51,-0.0676085,-0.0653271,42.4495,6,-0.217597,28.3648,3,0.8,0
"59",23.51,-0.0789519,-0.0768959,42.7759,7,-0.243163,28.6079,3,0.8,0
"60",5.11,0,0,42.09,3,1,22,3,0.8,0
"61",5.11,0,0,42.09,4,1,21,3,0.8,0
"62",5.11,0,0,42.09,5,1,20,3,0.8,0
"63",5.11,0,0,42.09,6,1,19,3,0.8,0
"64",5.11,0,0,42.09,7,1,18,3,0.8,0
"65",23.61,-4.01918e-09,5.59375e-09,-1,0,0,27.7778,3,0.8,0
"66",23.61,-0.000350312,-9.41679e-05,43.4529,1,-0.00133775,27.7791,3,0.8,0
"67",23.61,-0.0044603,-0.00385211,42.6676,2,-0.0143481,27.7935,3,0.8,0
"68",23.61,-0.0162222,-0.0142844,42.2536,3,-0.054317,27.8478,3,0.8,0
"69",23.61,-0.0350941,-0.0323824,42.1005,4,-0.117047,27.9649,3,0.8,0
"70",23.61,-0.0534747,-0.0507501,42.1882,5,-0.176931,28.1418,3,0.8,0
"71",23.61,-0.0671614,-0.0648402,42.4278,6,-0.216232,28.358,3,0.8,0
"72",23.61,-0.0785124,-0.0762202,42.7516,7,-0.242028,28.6,3,0.8,0
"73",23.71,-2.25668e-09,5.9142e-09,-1,0,0,27.7778,3,0.8,0
"74",23.71,-0.00033813,-0.000453298,43.4527,1,-0.00130429,27.7791,3,0.8,0
"75",23.71,-0.00433638,-0.00372625,42.6661,2,-0.0139424,27.793,3,0.8,0
"76",23.71,-0.0158727,-0.0141715,42.2482,3,-0.0531535,27.8462,3,0.8,0
"77",23.71,-0.0345479,-0.0318146,42.0889,4,-0.115171,27.9614,3,0.8,0
"78",23.71,-0.0529095,-0.0499784,42.1706,5,-0.175094,28.1365,3,0.8,0
