"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,0.000332113,0.00425319,43.563,1,-0.00138918,27.7792,3,0.8,0
"3",22.91,-0.0047792,-0.00367861,42.6744,2,-0.0163555,27.7955,3,0.8,0
"4",22.91,-0.018089,-0.0163303,43.1668,3,-0.0867112,27.8823,3,0.8,0
"5",22.91,-0.025866,-0.0244118,43.9149,4,-0.121375,28.0036,3,0.8,0
"6",22.91,-0.028422,-0.0273584,44.5413,5,-0.117051,28.1207,3,0.8,0
"7",22.91,-0.0288748,-0.0281218,45.096,6,-0.107733,28.2284,3,0.8,0
"8",22.91,-0.0285027,-0.0279596,45.6259,7,-0.0997141,28.3281,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,0.000359219,0.00436948,43.5629,1,-0.00134623,27.7791,3,0.8,0
"11",23.01,-0.00468825,-0.00396393,42.6728,2,-0.0159194,27.7951,3,0.8,0
"12",23.01,-0.0178182,-0.0162708,43.1582,3,-0.085392,27.8805,3,0.8,0
"13",23.01,-0.0256179,-0.0242218,43.9028,4,-0.120597,28.0011,3,0.8,0
"14",23.01,-0.0282423,-0.0272256,44.5296,5,-0.116792,28.1178,3,0.8,0
"15",23.01,-0.0287517,-0.0280297,45.0852,6,-0.107685,28.2255,3,0.8,0
"16",23.01,-0.0284163,-0.0278903,45.6159,7,-0.0997495,28.3253,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,0.000401955,0.00448148,43.5628,1,-0.00130688,27.7791,3,0.8,0
"19",23.11,-0.00460141,-0.00381517,42.6712,2,-0.0154878,27.7946,3,0.8,0
"20",23.11,-0.0175398,-0.0159187,43.1497,3,-0.0840918,27.8787,3,0.8,0
"21",23.11,-0.0253681,-0.0239451,43.8908,4,-0.119816,27.9985,3,0.8,0
"22",23.11,-0.0280628,-0.0270292,44.518,5,-0.116527,28.115,3,0.8,0
