"","time","acceleration","controllerAcceleration","distance","nodeId","relativeSpeed","speed","controller","headway","runNumber"
"1",22.91,-2.55973e-08,-3.87992e-09,-1,0,0,27.7778,3,0.8,0
"2",22.91,0.000332113,0.00425319,43.563,1,-0.00138918,27.7792,3,0.8,0
"3",22.91,-0.0047792,-0.00367861,42.6744,2,-0.0163555,27.7955,3,0.8,0
"4",22.91,-0.018089,-0.0163303,43.1668,3,-0.0867112,27.8823,3,0.8,0
"5",22.91,-0.0307279,-0.0286488,42.9332,4,-0.116972,27.9992,3,0.8,0
"6",22.91,-0.041293,-0.0394931,43.2717,5,-0.154497,28.1537,3,0.8,0
"7",22.91,-0.0500368,-0.0484259,43.4458,6,-0.175484,28.3292,3,0.8,0
"8",22.91,-0.0576179,-0.056111,43.7977,7,-0.195226,28.5244,3,0.8,0
"9",23.01,-2.14481e-08,-1.5099e-09,-1,0,0,27.7778,3,0.8,0
"10",23.01,0.000359219,0.00436948,43.5629,1,-0.00134623,27.7791,3,0.8,0
"11",23.01,-0.00468825,-0.00396393,42.6728,2,-0.0159194,27.7951,3,0.8,0
"12",23.01,-0.0178182,-0.0162708,43.1582,3,-0.085392,27.8805,3,0.8,0
"13",23.01,-0.0303552,-0.0282734,42.9215,4,-0.115714,27.9962,3,0.8,0
"14",23.01,-0.0409566,-0.0390385,43.2563,5,-0.153439,28.1496,3,0.8,0
"15",23.01,-0.0497464,-0.0480428,43.4283,6,-0.174607,28.3242,3,0.8,0
"16",23.01,-0.0573487,-0.0557548,43.7782,7,-0.194467,28.5187,3,0.8,0
"17",23.11,-1.76602e-08,4.61498e-10,-1,0,0,27.7778,3,0.8,0
"18",23.11,0.000401955,0.00448148,43.5628,1,-0.00130688,27.7791,3,0.8,0
"19",23.11,-0.00460141,-0.00381517,42.6712,2,-0.0154878,27.7946,3,0.8,0
"20",23.11,-0.0175398,-0.0159187,43.1497,3,-0.0840918,27.8787,3,0.8,0
"21",23.11,-0.0299791,-0.0278699,42.91,4,-0.114465,27.9932,3,0.8,0
"22",23.11,-0.0406169,-0.0386588,43.241,5,-0.152377,28.1455,3,0.8,0
